id;regname.ru;chisl2010;chisl2018
Bashkortostan;Республика Башкортостан;4072;4051
Mariy-El;Республика Марий Эл;695;681
Mordovia;Республика Мордовия;834;795
Tatarstan;Республика Татарстан;3787;3899
Udmurt;Удмуртская Республика;1520;1507
Chuvash;Чувашская Республика;1251;1223
Perm';Пермский край;2634;2611
Kirov;Кировская область;1339;1272
Nizhegorod;Нижегородская область ;3308;3215
Orenburg;Оренбургская область;2032;1963
Penza;Пензенская область;1384;1318
Samara;Самарская область;3215;3183
Saratov;Саратовская область;2519;2441
Ul'yanovsk;Ульяновская область;1290;1238
